,DateTime,WindSpeed,PowerGenerated
339,2017-01-04 12:45:00,2.37427,0
340,2017-01-04 13:00:00,2.2337599999999997,0
341,2017-01-04 13:15:00,2.09325,0
342,2017-01-04 13:30:00,1.9527299999999999,0
343,2017-01-04 13:45:00,1.8733099999999998,0
344,2017-01-04 14:00:00,1.7938900000000002,0
345,2017-01-04 14:15:00,1.7144599999999999,0
346,2017-01-04 14:30:00,1.63504,0
347,2017-01-04 14:45:00,1.6578700000000002,0
348,2017-01-04 15:00:00,1.68071,0
349,2017-01-04 15:15:00,1.70354,0
350,2017-01-04 15:30:00,1.7263700000000002,0
351,2017-01-04 15:45:00,1.7544099999999998,0
352,2017-01-04 16:00:00,1.78245,0
353,2017-01-04 16:15:00,1.8104900000000002,0
354,2017-01-04 16:30:00,1.83853,160
355,2017-01-04 16:45:00,2.3744099999999997,480
356,2017-01-04 17:00:00,2.9102900000000003,480
357,2017-01-04 17:15:00,3.4461800000000005,1120
358,2017-01-04 17:30:00,3.9820599999999997,2160
359,2017-01-04 17:45:00,4.65718,5760
360,2017-01-04 18:00:00,5.3323,10720
361,2017-01-04 18:15:00,6.00742,14800
362,2017-01-04 18:30:00,6.68255,17600
363,2017-01-04 18:45:00,6.3928199999999995,20560
364,2017-01-04 19:00:00,6.1031,19520
365,2017-01-04 19:15:00,5.81337,20400
366,2017-01-04 19:30:00,5.52365,21440
367,2017-01-04 19:45:00,5.2094,22960
368,2017-01-04 20:00:00,4.89515,22480
369,2017-01-04 20:15:00,4.5809,23520
370,2017-01-04 20:30:00,4.26665,25520
371,2017-01-04 20:45:00,4.0493,31040
372,2017-01-04 21:00:00,3.83195,32800
373,2017-01-04 21:15:00,3.6146,33440
374,2017-01-04 21:30:00,3.39725,35600
375,2017-01-04 21:45:00,4.46852,38480
376,2017-01-04 22:00:00,5.5398,41840
377,2017-01-04 22:15:00,6.61108,40000
378,2017-01-04 22:30:00,7.68235,36800
379,2017-01-04 22:45:00,7.84355,30240
380,2017-01-04 23:00:00,8.00475,22880
381,2017-01-04 23:15:00,8.16595,18160
382,2017-01-04 23:30:00,8.32714,15920
383,2017-01-04 23:45:00,8.6923,14480
384,2017-01-05 00:00:00,7.993130000000001,13760
385,2017-01-05 00:15:00,8.245289999999999,13920
386,2017-01-05 00:30:00,8.49746,14160
387,2017-01-05 00:45:00,8.64183,12800
388,2017-01-05 01:00:00,8.78621,12480
389,2017-01-05 01:15:00,8.93058,14320
390,2017-01-05 01:30:00,9.07495,17120
391,2017-01-05 01:45:00,8.97642,17840
392,2017-01-05 02:00:00,8.877889999999999,20240
393,2017-01-05 02:15:00,8.77935,21440
394,2017-01-05 02:30:00,8.680819999999999,22480
395,2017-01-05 02:45:00,8.77116,23120
396,2017-01-05 03:00:00,8.86151,25360
397,2017-01-05 03:15:00,8.95185,28880
398,2017-01-05 03:30:00,9.04219,33840
399,2017-01-05 03:45:00,9.02028,35680
400,2017-01-05 04:00:00,8.99836,34320
401,2017-01-05 04:15:00,8.97644,34160
402,2017-01-05 04:30:00,8.95452,33040
403,2017-01-05 04:45:00,8.81246,31600
404,2017-01-05 05:00:00,8.6704,29520
405,2017-01-05 05:15:00,8.52834,28000
406,2017-01-05 05:30:00,8.386280000000001,25680
407,2017-01-05 05:45:00,7.920439999999999,22240
408,2017-01-05 06:00:00,7.4546,22320
409,2017-01-05 06:15:00,6.98877,22560
410,2017-01-05 06:30:00,6.522930000000001,23600
411,2017-01-05 06:45:00,6.97416,24720
412,2017-01-05 07:00:00,7.425389999999999,26000
413,2017-01-05 07:15:00,7.87661,27280
414,2017-01-05 07:30:00,8.32784,27360
415,2017-01-05 07:45:00,7.6954199999999995,27360
416,2017-01-05 08:00:00,7.062989999999999,27360
417,2017-01-05 08:15:00,6.4305699999999995,28160
418,2017-01-05 08:30:00,5.79815,29360
419,2017-01-05 08:45:00,5.26181,30320
420,2017-01-05 09:00:00,4.72548,30240
421,2017-01-05 09:15:00,4.18915,23440
422,2017-01-05 09:30:00,3.6528199999999997,15840
423,2017-01-05 09:45:00,3.62665,10320
424,2017-01-05 10:00:00,3.6004699999999996,7280
425,2017-01-05 10:15:00,3.5743,4480
426,2017-01-05 10:30:00,3.5481300000000005,2240
427,2017-01-05 10:45:00,3.20567,80
428,2017-01-05 11:00:00,2.8632,0
429,2017-01-05 11:15:00,2.52074,0
430,2017-01-05 11:30:00,2.17828,0
431,2017-01-05 11:45:00,2.01063,0
432,2017-01-05 12:00:00,1.8429900000000001,0
433,2017-01-05 12:15:00,1.67535,0
434,2017-01-05 12:30:00,1.5077,0
435,2017-01-05 12:45:00,1.6345,0
436,2017-01-05 13:00:00,1.7613,0
437,2017-01-05 13:15:00,1.8881,0
438,2017-01-05 13:30:00,2.0149,0
439,2017-01-05 13:45:00,2.07574,0
440,2017-01-05 14:00:00,2.13659,0
441,2017-01-05 14:15:00,2.1974299999999998,0
442,2017-01-05 14:30:00,2.25827,0
443,2017-01-05 14:45:00,2.41636,0
444,2017-01-05 15:00:00,2.57444,0
445,2017-01-05 15:15:00,2.73253,0
446,2017-01-05 15:30:00,2.8906099999999997,0
447,2017-01-05 15:45:00,3.1608099999999997,0
448,2017-01-05 16:00:00,3.4310099999999997,0
449,2017-01-05 16:15:00,3.7012,0
450,2017-01-05 16:30:00,3.9714,320
451,2017-01-05 16:45:00,4.2470300000000005,1120
452,2017-01-05 17:00:00,4.52267,1280
453,2017-01-05 17:15:00,4.7983,2080
454,2017-01-05 17:30:00,5.07394,3520
455,2017-01-05 17:45:00,5.57262,4800
456,2017-01-05 18:00:00,6.0713099999999995,7760
457,2017-01-05 18:15:00,6.56999,11120
458,2017-01-05 18:30:00,7.0686800000000005,11600
459,2017-01-05 18:45:00,7.139239999999999,12160
460,2017-01-05 19:00:00,7.209810000000001,13280
461,2017-01-05 19:15:00,7.28038,15920
462,2017-01-05 19:30:00,7.35095,15600
463,2017-01-05 19:45:00,7.465510000000001,15840
464,2017-01-05 20:00:00,7.58007,15920
465,2017-01-05 20:15:00,7.69463,14960
466,2017-01-05 20:30:00,7.809189999999999,14560
467,2017-01-05 20:45:00,7.49677,13600
468,2017-01-05 21:00:00,7.184360000000001,13360
469,2017-01-05 21:15:00,6.8719399999999995,11360
470,2017-01-05 21:30:00,6.5595300000000005,8880
471,2017-01-05 21:45:00,6.08144,8480
472,2017-01-05 22:00:00,5.60335,7120
473,2017-01-05 22:15:00,5.12526,5040
474,2017-01-05 22:30:00,4.64717,4400
475,2017-01-05 22:45:00,4.92585,3600
476,2017-01-05 23:00:00,5.20453,3280
477,2017-01-05 23:15:00,5.48321,3920
478,2017-01-05 23:30:00,5.7619,5120
479,2017-01-05 23:45:00,6.02327,6560
480,2017-01-06 00:00:00,6.11397,8560
481,2017-01-06 00:15:00,6.44073,10000
482,2017-01-06 00:30:00,6.76748,12080
483,2017-01-06 00:45:00,7.01519,15040
484,2017-01-06 01:00:00,7.262910000000001,22400
485,2017-01-06 01:15:00,7.51063,36880
486,2017-01-06 01:30:00,7.75834,57120
487,2017-01-06 01:45:00,7.81557,71760
488,2017-01-06 02:00:00,7.872789999999999,73760
489,2017-01-06 02:15:00,7.93001,68480
490,2017-01-06 02:30:00,7.987239999999999,67600
491,2017-01-06 02:45:00,7.99055,65840
492,2017-01-06 03:00:00,7.993860000000001,67600
493,2017-01-06 03:15:00,7.997160000000001,71280
494,2017-01-06 03:30:00,8.00047,82640
495,2017-01-06 03:45:00,7.914210000000001,95440
496,2017-01-06 04:00:00,7.827939999999999,107280
497,2017-01-06 04:15:00,7.741680000000001,111920
498,2017-01-06 04:30:00,7.655410000000001,114000
499,2017-01-06 04:45:00,7.653519999999999,111360
500,2017-01-06 05:00:00,7.65163,110560
501,2017-01-06 05:15:00,7.6497399999999995,106400
502,2017-01-06 05:30:00,7.64785,99280
503,2017-01-06 05:45:00,7.53826,92720
504,2017-01-06 06:00:00,7.428669999999999,89280
505,2017-01-06 06:15:00,7.3190800000000005,90080
506,2017-01-06 06:30:00,7.20949,87520
507,2017-01-06 06:45:00,6.986089999999999,83840
508,2017-01-06 07:00:00,6.762689999999999,78480
509,2017-01-06 07:15:00,6.53929,54880
510,2017-01-06 07:30:00,6.3158900000000004,59440
